State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,sex_ratio
Assam,Darrang,26.58463215962442,92.04141338028155,325,ASSAM,928500,475273,453227,487039,268666,218373,95.36140281480328
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,ASSAM,686133,351249,334884,423028,237761,185267,95.34091200259644
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,ASSAM,1326335,676434,649901,884531,491361,393170,96.07751827968436
Assam,Goalpara,26.017277777777807,90.59869891598912,302,ASSAM,1008183,513292,494891,563577,304302,259275,96.4151009561809
Assam,Golaghat,26.377219709794485,93.82583397823468,313,ASSAM,1066888,543161,523727,721764,396475,325289,96.42205533902471
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,ASSAM,659296,337890,321406,407366,226836,180530,95.12148924206103
Assam,Jorhat,26.76244824016563,94.30197722567289,312,ASSAM,1092256,556805,535451,794929,432335,362594,96.16490512836631
Assam,Kamrup,26.170939452054807,91.58863273972592,321,ASSAM,1517542,778461,739081,995319,550219,445100,94.94130084872589
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,ASSAM,956313,490167,466146,557214,314253,242961,95.09942529790867
Assam,Karimganj,24.69660712250711,92.3679498575498,317,ASSAM,1228686,625864,602822,795297,435942,359355,96.31836948602253
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,ASSAM,887142,452905,434237,489305,275220,214085,95.87816429494043
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,ASSAM,1042137,529674,512463,683486,375552,307934,96.7506428482425
Assam,Nagaon,26.26462170626351,92.9306191144708,305,ASSAM,2823768,1439112,1384656,1710716,921850,788866,96.21599986658438
Assam,Nalbari,26.46323767605632,91.40598521126763,323,ASSAM,771639,396006,375633,531771,293184,238587,94.85538097907607
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,ASSAM,1924110,983904,940206,1108572,620525,488047,95.55871304517514
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,ASSAM,1327929,680231,647698,798322,453449,344873,95.2173599850639
Bihar,Araria,26.211528119180603,87.30766554934816,209,BIHAR,2811569,1463333,1348236,1195768,727643,468125,92.13459957507963
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,92.6218108356513
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,92.32744201127687
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,92.6218108356513
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,92.32744201127687
Bihar,Banka,24.832355642023337,86.8664916342413,225,BIHAR,2034763,1067140,967623,965321,590961,374360,90.67441947635737
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,BIHAR,2970541,1567660,1402881,1548673,918507,630166,89.4888560019392
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,BIHAR,3037766,1615663,1422103,1573066,937669,635397,88.01977887715445
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,BIHAR,2728407,1430380,1298027,1599151,973486,625665,90.74700429256562
Bihar,Buxar,25.48593018867924,84.08808081760995,232,BIHAR,1706352,887977,818375,989807,593544,396263,92.16173391878392
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,BIHAR,3937385,2059949,1877436,1816634,1125566,691068,91.13992627972829
Bihar,Gaya,24.7266541547278,84.94291217765044,236,BIHAR,4391418,2266566,2124852,2297613,1368803,928810,93.74763408610207
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,BIHAR,2562012,1267666,1294346,1382998,793905,589093,102.10465532719186
Bihar,Jamui,24.78418380462726,86.26316298200514,238,BIHAR,1760405,916064,844341,858588,534385,324203,92.17052520347923
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,BIHAR,1125313,585582,539731,618881,374412,244469,92.17001205638151
Bihar,Katihar,25.56565356037151,87.70466083591326,212,BIHAR,3071029,1600430,1470599,1280190,762256,517934,91.88774266915767
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,BIHAR,1666886,883786,783100,768028,461153,306875,88.6074230639544
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,BIHAR,1690400,866970,823430,745056,439921,305135,94.97791157710186
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,BIHAR,1000912,526345,474567,507270,305182,202088,90.16272596870874
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,BIHAR,2001762,1047559,954203,834577,517666,316911,91.0882346483587
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,BIHAR,4487379,2329313,2158066,2155338,1340085,815253,92.6481756638116
Bihar,Munger,25.198537962962963,86.54173672839504,226,BIHAR,1367765,729041,638724,801817,473741,328076,87.61153350771768
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,BIHAR,4801062,2527497,2273565,2509232,1487117,1022115,89.95322249640653
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,BIHAR,2877653,1497060,1380593,1519933,919558,600375,92.22028509211387
Bihar,Nawada,24.825708836206903,85.61594568965519,237,BIHAR,2219146,1144668,1074478,1091012,659474,431538,93.86809100979498
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,BIHAR,3935042,2061110,1873932,1759481,1091226,668255,90.91858270543543
Bihar,Patna,25.40297114503818,85.3198433587787,230,BIHAR,5838465,3078512,2759953,3459679,2028047,1431632,89.65217611625357
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,BIHAR,5099371,2681209,2418162,2276957,1407603,869354,90.18923925736487
Bihar,Purnia,25.81714801901739,87.40447606973065,211,BIHAR,3264619,1699370,1565249,1332326,805261,527065,92.10760458287483
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,BIHAR,2959918,1543546,1416372,1799832,1061783,738049,91.7609193376809
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,BIHAR,1900661,997174,903487,804996,506374,298622,90.60474902073258
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,BIHAR,4261566,2230003,2031563,2142880,1293575,849305,91.10135726274807
Bihar,Saran,25.89656077844312,84.82266287425155,219,BIHAR,3951862,2022821,1929041,2157454,1285767,871687,95.36390021657873
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,BIHAR,636342,329743,306599,328676,196431,132245,92.98120051070076
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,BIHAR,656246,346673,309573,283698,171645,112053,89.29827243540743
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,BIHAR,3423574,1803252,1620322,1436794,885188,551606,89.85554986213796
Bihar,Siwan,26.1736372013652,84.33766552901022,218,BIHAR,3330464,1675090,1655374,1930175,1115906,814269,98.82298861553707
Bihar,Supaul,26.28157893772896,86.78496465201461,208,BIHAR,2229076,1155283,1073793,1033283,647672,385611,92.94631704958871
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,BIHAR,3495021,1844535,1650486,1926740,1152576,774164,89.47978758874187
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,CHANDIGARH,1055450,580663,474787,805438,465346,340092,81.76636017793454
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,CHHATTISGARH,1413199,698487,714712,650863,382335,268528,102.32287787746945
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,HIMACHAL PRADESH,381956,192764,189192,287620,155599,132021,98.14695690066611
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,CHHATTISGARH,2663629,1351574,1312055,1596560,932474,664086,97.07607574576012
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,HIMACHAL PRADESH,381956,192764,189192,287620,155599,132021,98.14695690066611
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,CHHATTISGARH,2663629,1351574,1312055,1596560,932474,664086,97.07607574576012
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,CHHATTISGARH,799781,397897,401884,546833,303924,242909,101.00201811021445
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,CHHATTISGARH,3343872,1682101,1661771,2303378,1284612,1018766,98.79139243125115
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,CHHATTISGARH,851669,424747,426922,495415,280656,214759,100.51206953786607
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,CHHATTISGARH,1206640,612915,593725,748759,433391,315368,96.86906014700244
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,CHHATTISGARH,658917,334737,324180,397823,229923,167900,96.84618073293362
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,CHHATTISGARH,1032754,511967,520787,637963,364089,273874,101.72276728773535
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,CHHATTISGARH,1493984,750278,743706,951639,542756,408883,99.1240580158288
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,MAHARASHTRA,2634200,1344345,1289855,1939994,1059692,880302,95.94672498502989
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,CHHATTISGARH,1493984,750278,743706,951639,542756,408883,99.1240580158288
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,MAHARASHTRA,2634200,1344345,1289855,1939994,1059692,880302,95.94672498502989
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,CHHATTISGARH,4063872,2048186,2015686,2629749,1493158,1136591,98.41323004844287
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,CHHATTISGARH,2359886,1193129,1166757,1187941,694686,493255,97.78967739448123
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,DAMAN AND DIU,191173,124659,66514,150348,104316,46032,53.35675723373362
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,GUJARAT,2743082,1404356,1338726,1842818,1046981,795837,95.32668354747656
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,GUJARAT,2743082,1404356,1338726,1842818,1046981,795837,95.32668354747656
